Urun,Kaynak,Yazar,Yorum,Begeni,Tarih,Temiz_Yorum,Skor,Etiket,Hedef
AirPods Pro,Instagram (Simulated),insta_user_7324,😍 Samsungda kulanisi kaliteli etmek icin onerdiginiz bir uygulama varmi? #inceleme,177,2020-11-18T16:11:48Z,samsungda kulanisi kaliteli etmek icin onerdiginiz uygulama var inceleme,1.0,Olumlu,1
MacBook Air,Instagram (Simulated),insta_user_3117,🔥 macbook benzeri laptoplar arasında ekranı daha kötü olan yok... hepsi oled parlak parlak bu boş i... #teknoloji,84,2025-04-19T20:33:59Z,macbook benzeri laptop arasında ekranı kötü olan hepsi oled parlak parlak boş teknoloji,-1.0,Olumsuz,0
iPhone 15,YouTube,@AsilPoyraz,Merhaba İphone 15 lerde ısınma sorunu devam ediyor mu?,0,2024-05-06T13:46:20Z,merhaba iphone lerde ısınma sorunu devam ediyor,-1.0,Olumsuz,0
iPhone 15,YouTube,@domiel3567,Yaa ha s oyun oynamıyor çoğu kişi önemsiz 120hz iPhone 15 aldım. s24u alacaktım sırf 2. El piyasası tr de daha iyi diye Apple aldım yoksa almazdım,0,2025-07-20T23:34:04Z,yaa oyun oynamıyor çoğu kişi önemsiz iphone aldım alacaktım sırf piyasası iyi apple aldım yoksa almazdım,1.0,Olumlu,1
Dyson Supurge,YouTube,@filiz-canTürk,"Fitre asla yikanmamalı  zamanla çöp olur,çekim gücünü kaybeder.Araba lastikçilerine gidip hava üflemeyle temizlemek daha mantıklı.",0,2025-12-02T06:46:30Z,fitre asla yikanmamalı zamanla çöp olurçek gücünü kaybederaraba lastikçilerine gidip hava üflemeyle temizlemek mantıklı,-1.0,Olumsuz,0
iPhone 15,YouTube,@caglarncanoyunistiyor8443,ay aldigimdan beri xiaomi kullanan berkes bok atiyor cevremdeki iphone 13 daha iyiymis 😂😂😂 bari 13 kullansanalar komik durmayacak. arkadasim 13 kullaniyor arkadaslar cok fark var iyi ki 15 almisim iyi ki canavar gibi calisiyor cihaz cikan son modeli almak varken neden kac yil once cikmis seyi alsaydim valla delirticekler beni kamerasina da laf ediyolar pro modeller gibi cekiyor gozumden daha net masallah nazar degmesin cok memnunum alacaklar hic dusunmesin alsin💝💝💝💝,0,2024-04-24T17:24:53Z,aldigim beri xiao kullanan berkes bok atiyor cevremdeki iphone iyiymis bari kullansana komik durmayacak arkadas kullaniyor arkadas cok fark iyi almis iyi canavar calisiyor cihaz cikan son modeli almak varken neden kac yil once cikmis seyi alsayd valla delirticek beni kamerasina laf ediyo pro model cekiyor gozum net masallah nazar degme cok memnunum alacak hic dusunme alsin,1.0,Olumlu,1
AirPods Pro,YouTube,@muhammetbozkus8337,Alp abi senin incelemelerin var ya tek kelimeyle kusursuz.Her ayrıntısına kadar o kadar iyi anlatıyorsun ki insanın aklında tek soru kalmıyor.Kapağın oynaklığına kadar söylüyorsun.Süpersin,3,2021-05-25T21:21:15Z,alp abi senin incelemelerin tek kelimeyle kusursuzher ayrıntısına iyi anlatıyors insa aklında tek soru kalmıyorkapağın oynaklığına söylüyorsunsüper,1.0,Olumlu,1
iPhone 15,YouTube,@tugraaasshn,Ben bugun aldım mükemmell 60 hz falan kesinlikle sıkıntı çıkarmıyor aşırı akıcı zaten kesinlikle tavsiye ederim,0,2024-06-12T20:44:57Z,bug aldım mükemmell falan kesinlikle sıkıntı çıkarmıyor aşırı akıcı zaten kesinlikle tavsiye eder,1.0,Olumlu,1
Samsung S24,YouTube,@REDLINER498,Abim emulator kullanmayı düşünüyorum ısınıyormu ısınırsada performans düşüklüğü varmı iphone 13 ten geçmeyi düşünüyorum tavsiye olarak s23 de almayı düiünmüyor deilim,0,2024-11-03T21:21:42Z,abim emulator kullanmayı düşünüyorum ısınıyormu ısınırsada performans düşüklüğü var iphone ten geçmeyi düşünüyorum tavsiye olarak almayı düiünmüyor deil,1.0,Olumlu,1
Samsung S24,YouTube,@SerhatKoyuncu-p9w,Ozan selam videoların çok güzel iphone 11 kullanıyorum yeni bir iphone alacak bütçem yok s24 hala alınır mı sence,1,2025-10-12T10:39:37Z,ozan selam videoların güzel iphone kullanıyorum yeni iphone alacak bütçem hala alınır sence,1.0,Olumlu,1
AirPods Pro,YouTube,@kadircetin6289,"Youtube çöplüğünde alanında altın değerinde bir kanalsın  ve severek izliyorum bizleri bilgilendirdiğin için, emek verdiğin için teşekkür ederim. İnşallah sende bu popüler kapitalist sisteme uyup katıl butonu gibi ayrımcılık yapan kanallara uymazsın.. Seviyorum seni reis 😁",0,2020-01-25T21:09:47Z,youtube çöplüğünde alanında altın değerinde kanalsın severek izliyorum bizleri bilgilendirdiğin emek verdiğin teşekkür eder inşallah sende popü kapitalist sisteme uyup katıl butonu ayrımcılık yapan kanallara uymazsın seviyorum seni reis,1.0,Olumlu,1
AirPods Pro,YouTube,@evren1233,Selam Airpods Pro kullanıyorum herhangi bir video izlerken kulaklığın üstünde ki tuşa bastığımda video duruyor ama tekrar bastığımda video başlamıyor. Bu bir sorun mu yoksa herkeste böyle mi?,0,2020-03-20T19:06:04Z,selam airpods pro kullanıyorum herhangi video izlerken kulaklığın üstünde tuşa bastığımda video duruyor tekrar bastığımda video başlamıyor sor yoksa herkeste,-1.0,Olumsuz,0
iPhone 15,YouTube,@melissa_lincoln,merhaba 15in kamerası hakkında çok kötü eleştiriler var sizce öbür modellerden bir farkı kötü bir yanı var mı kamerasının?,0,2024-10-27T12:48:37Z,merhaba kamerası hakkında kötü eleştiri sizce öbür modeller farkı kötü yanı kamerası,-1.0,Olumsuz,0
Dyson Supurge,Twitter (Simulated),@user_39522, O yiyecekleri israf etmeniz hiç olmamış. Çok gereksiz bir enstantane yapmaya çalışmışsınız.,77,2024-12-25T07:53:08Z,yiyecekleri israf etmeniz hiç olmamış gereksiz enstantane yapmaya çalışmışsınız,-1.0,Olumsuz,0
AirPods Pro,YouTube,@ceydaylmaz387,"Merhaba, şarj etmek için eski tip iphone şarj aleti kullanmak sorun olur mu?",0,2022-10-20T15:03:41Z,merhaba şarj etmek eski tip iphone şarj aleti kullanmak sor olur,-1.0,Olumsuz,0
Dyson Supurge,Instagram (Simulated),insta_user_9584,💩 dyson süpürge almayı düşünüyorduk tam zamanında geldi video emeğine sağlık Merdan teşekkür ederiz... #unboxing,89,2024-01-05T16:35:45Z,dyson süpürge almayı düşünüyorduk tam zamanında geldi video emeğine sağlık mer teşekkür ederiz unboxing,1.0,Olumlu,1
AirPods Pro,YouTube,@ilkinhesenov2254,Abi sana aboneyim bölür cevap versene abi simdi ben oyun için airpots pro almaq istəyirem sence almalimiyim? He sonra abi airpots pro çok kötü duruyor dimi kulaklada,0,2021-08-07T09:53:31Z,abi aboney bölür cevap versene abi simdi oyun airpots pro almaq istəyirem sence almalimiy sonra abi airpots pro kötü duruyor dimi kulaklada,-1.0,Olumsuz,0
AirPods Pro,Instagram (Simulated),insta_user_8996,🤔 Ooo  her yorumuma kalp atan kral abim video da atmish hadi misirimizi alip izleyelim #teknoloji,242,2020-01-25T16:11:04Z,ooo her yorumuma kalp atan kral abim video atmish hadi misirimizi alip izleyel teknoloji,1.0,Olumlu,1
AirPods Pro,Twitter (Simulated),@user_62288,@AppleDestek Helal güzel olmuş emek bu kısa ve öz oyanlanmıyor adam,21,2021-10-01T21:55:50Z,appledestek helal güzel olmuş emek kısa oyanlanmıyor adam,1.0,Olumlu,1
iPhone 15,YouTube,@bursakaplani,"Hocam geçen gün cihazı üst üste sıfırlarsak ürün adına bir sorun yaratır mı diye soru sormuştum, sorun olmaz demiştiniz ama aklıma şey takıldı ekranda hard reset veya sıfırlamada sorun olmaz değil mi? Sanki cihazın ekranı kasmaya başladı gibi de",2,2023-10-06T19:38:07Z,hocam geçen gün cihazı üst üste sıfırlarsak ürün adına sor yaratır soru sormuştum sor olmaz demiştiniz aklıma takıldı ekranda hard reset veya sıfırlamada sor olmaz değil sanki cihazın ekranı kasmaya başladı,-1.0,Olumsuz,0
iPhone 15,YouTube,@sametguvenen8256,"Çok detaylı ve güzel bir anlatım olmuş emeğinize sağlık benim  bir sorum olacak
 s23 mü almalıyım  yoksa 15 mi uzun vadeli kullanmak istiyorum aradaki fiyat farkı çok fazla kararsızım bu yüzden ve  ülkemizde iphoneların değeri pek düşmüyor s23 ün değeri birkaç yıl sonra  değer fazla düşer mi   sizin öneriniz ne olur 
ilk defa iphone geçeceğim eğer öneriniz 15 olursa ilk defa geçeğim için 15 mi önerirsiniz yoksa farklı bir modeli mi cevaplarsanız çok sevinirim(büyük ekran sevmiyorum ergonomik olmadığı için)",1,2023-11-21T00:32:22Z,detaylı güzel anlatım olmuş emeğinize sağlık ben sorum olacak almalıyım yoksa uzun vadeli kullanmak istiyorum aradaki fiyat farkı fazla kararsızım yüz ülkemizde iphoneların değeri pek düşmüyor değeri birkaç yıl sonra değer fazla düşer sizin öneriniz olur ilk defa iphone geçeceğ eğer öneriniz olursa ilk defa geçeğ önerir yoksa farklı modeli cevaplarsanız sevinirimbüyük ekran sevmiyorum ergonomik olmadığı,1.0,Olumlu,1
AirPods Pro,YouTube,@ferhatnatolyesi1871,"İzlemeden like 👍. 
Çünkü adam başarılı.",93,2020-01-25T16:01:43Z,izleme like çünkü adam başarılı,1.0,Olumlu,1
Dyson Supurge,YouTube,@beyhanseloglu7657,Dyson detect total claen ile arasında fark yok fakat bu model daha pahalı neden acaba,1,2024-12-30T21:38:29Z,dyson detect total claen arasında fark model pahalı neden acaba,-1.0,Olumsuz,0
Samsung S24,YouTube,@abay6001,s23den 6bin kadar pahalı. deger mı bu farka,0,2024-07-27T12:56:21Z,sden bin pahalı deger farka,-1.0,Olumsuz,0
Dyson Supurge,Instagram (Simulated),insta_user_6842,💩 Diğer markalar uyansa yeşil renk led lamba taksalar tozlar daha iyi görünür. #tech,69,2024-10-16T19:51:06Z,diğer marka uyansa yeşil renk led lamba taksa toz iyi görünür tech,1.0,Olumlu,1
AirPods Pro,Instagram (Simulated),insta_user_9406,🤔 Gerçekten çok başarılı inceleme. Her zamanki gibi objektif cidden umarım böyle devam edersiniz. B... #tech,499,2020-01-25T23:05:23Z,gerçekten başarılı inceleme her zamanki objektif cid umarım devam eder tech,1.0,Olumlu,1
iPhone 15,YouTube,@dr_teknik,"İzlemeden bir tane kızıma aldim izledikten sonra kendine de almaya karar verdim iPhone 15
Sırf YouTube video attığım için alıyorum inşallah parasını kısa zaman da YouTube den çıkartırım 😊 ayrıca teşekkür ederim güzel anlatımın için",6,2024-01-13T19:40:41Z,izleme tane kızıma ald izledikten sonra kendine almaya karar verd iphone sırf youtube video attığım alıyorum inşallah parasını kısa zaman youtube den çıkartırım ayrıca teşekkür eder güzel anlatımın,1.0,Olumlu,1
iPhone 15,YouTube,@rabia24944,"Telefonun kutusunu açıp masa başında ezbere konuşsa beğenirdiniz, karşılaştırmalar anlatım tarzı her detayı ile incelemek görsellerle bu kadar iyi anlatmak. En iyi inceleme, daha fazla beğeni ve izlenme hakediyor !🎉",73,2023-11-16T21:38:53Z,telefon kutusunu açıp masa başında ezbere konuşsa beğenirdiniz karşılaştırma anlatım tarzı her detayı incelemek görsellerle iyi anlatmak iyi inceleme fazla beğeni izlenme hakediyor,1.0,Olumlu,1
Dyson Supurge,Twitter (Simulated),@user_82712,@ShiftDelete Çoçuk oyuncagımı yspıyon hangi yüzyıldayız niye bukadar nazik ve kırılgan yapıyorsunuz hammaddesini neden daha güçlü öaddeden yapmadınız dayanıklıgı uzun süreli olsa eyvallah  elinden yere düşğrsen çaat diye kırılaçak parçaları deseniz eger varsa bulabilirsen bile çok pahalı ç...,46,2025-10-26T21:50:12Z,shiftdelete çoçuk oyuncagı yspıyon hangi yüzyıldayız niye bukadar nazik kırılgan yapıyorsunuz hammaddesini neden güçlü öadde yapmadınız dayanıklıgı uzun süreli olsa eyvallah elin yere düşğrsen çaat kırılaçak parçaları deseniz eger varsa bulabilirsen bile pahalı,-1.0,Olumsuz,0
Dyson Supurge,YouTube,@djosmanoktay,Bende dyson v15 almıştım harika ürünler tavsiye ederim.g5 ile sadece başlık farkı var diye biliyorum. Sonuçta dyson,2,2024-01-14T07:39:51Z,bende dyson almıştım harika ürün tavsiye ederimg sadece başlık farkı biliyorum sonuçta dyson,1.0,Olumlu,1
AirPods Pro,Twitter (Simulated),@user_92281, Alp Gürsoy kaliteli içeriğe devam ediyor..İş hayatı ve youtube kariyerinde başarılar abi❤,98,2020-01-27T12:31:39Z,alp gürsoy kaliteli içeriğe devam ediyoriş hayatı youtube kariyerinde başarı abi,1.0,Olumlu,1
AirPods Pro,Instagram (Simulated),insta_user_1236,😡 Abi selam aynısından aldım ama konuşmamda net anlaşılamıyorum orda ayarları var 3 tane dış ses iç... #teknoloji,387,2021-04-08T17:24:10Z,abi selam aynısın aldım konuşmamda net anlaşılamıyorum orda ayarları tane dış ses teknoloji,1.0,Olumlu,1
AirPods Pro,Twitter (Simulated),@user_31875, Dürüst adan sevdim bak şihdetenen  kertenjeleleri gibi oynamıyor reklam yok alın alın oo çok güzel öldğm bittim demiyo hiç diyilse,32,2020-04-17T22:54:03Z,dürüst adan sevd bak şihdetenen kertenjeleleri oynamıyor reklam alın alın güzel öldğm bitt demiyo hiç diyilse,1.0,Olumlu,1
iPhone 15,YouTube,@Aliyasinkrll39,İphone 13 kullanıcıları cihazdan memnunmu  ısınma sorunu var mı batarya yogun kullanımda 1 günü çıkarıyor mu,0,2023-10-06T17:07:35Z,iphone kullanıcıları cihaz memnunmu ısınma sorunu batarya yog kullanımda günü çıkarıyor,-1.0,Olumsuz,0
Dyson Supurge,YouTube,@bbarutcu06,"Aldım kullandım 3 defa servise gönderdim çünkü siklon contalar (kırmızı renkli olan) her seferinde yerinden çıktı iade ettim.Tamam çekiş güzel şık zarif,biraz ağır olsada 27 bin verip o contalar ordan çıkınca soğudum...",14,2024-01-09T11:08:56Z,aldım kullandım defa servise gönderd çünkü siklon conta kırmızı renkli olan her seferinde yerin çıktı iade ettimtamam çekiş güzel şık zarifbiraz ağır olsada bin verip conta ordan çıkınca soğudum,1.0,Olumlu,1
AirPods Pro,YouTube,@huseynmardanov3594,Hacı çoktan yapıldı bile amma senden duymak daha çok güzel,1,2020-01-25T16:18:31Z,hacı çoktan yapıldı bile amma sen duymak güzel,1.0,Olumlu,1
iPhone 15,Twitter (Simulated),@user_95303, Iphone çöp eskisi gibi değil yine döneyim alayım dedim yine vazgeçtim rezalet şuna bak en son 11i almıştım sıfır öyle de kaldı yeterli,87,2025-05-16T21:20:49Z,iphone çöp eskisi değil döney alayım ded vazgeçt rezalet şuna bak son almıştım sıfır öyle kaldı yeterli,-1.0,Olumsuz,0
Samsung S24,Twitter (Simulated),@user_18681, Yorumlarda bahsi geçen ısınma ne kadar ısınıyo telefon illa ısınır da çok mu sıcaklasıyo,31,2025-08-30T21:46:06Z,yorumlarda bahsi geçen ısınma ısınıyo telefon illa ısınır sıcaklasıyo,-1.0,Olumsuz,0
AirPods Pro,Twitter (Simulated),@user_37170, Kral çekmek istemediğini beli ediyorsun zaten ! Keşke de çekmeseydin çok isteksiz anlatıyorsun.,42,2024-05-23T05:08:09Z,kral çekmek istemediğini beli ediyors zaten keşke çekmeseydin isteksiz anlatıyors,1.0,Olumlu,1
MacBook Air,YouTube,@mahmut7420,Mac' ler günlük işlerde vb. kullandımda bu ekonomide para yatırmak için iPhone'lardan bile çok iyi. MacBook Pro 2015'den selamlar,1,2025-05-01T14:02:03Z,mac ler günlük işlerde kullandımda ekonomide para yatırmak iphonelar bile iyi macbook pro den selam,1.0,Olumlu,1
AirPods Pro,YouTube,@altanbasaran9731,abi suanda airpods 1 mi yoksa airpods 3 mu hangisini almayi tavsiye edersin,0,2022-11-28T16:56:06Z,abi suanda airpods yoksa airpods hangisini almayi tavsiye eder,1.0,Olumlu,1
AirPods Pro,Twitter (Simulated),@user_15768, Ooo  her yorumuma kalp atan kral abim video da atmish hadi misirimizi alip izleyelim,44,2020-01-25T16:11:04Z,ooo her yorumuma kalp atan kral abim video atmish hadi misirimizi alip izleyel,1.0,Olumlu,1
iPhone 15,YouTube,@dogukan_yzc,Enes hocam QCY H4 modeli çıktı yakın zamanda. Kulaküstü model olan H2 nin ANCli versiyonu. İlgimi çekti sizden bir inceleme izlemek iyi olurdu.,0,2023-10-07T09:03:13Z,enes hocam qcy modeli çıktı yakın zamanda kulaküstü model olan nin ancli versiyonu ilgi çekti siz inceleme izlemek iyi olurdu,1.0,Olumlu,1
Samsung S24,YouTube,@atahanuysal7268,Iphone 13 le çok fark var mi aralarinda 13 alsam pişman olur mugum,0,2024-07-24T23:27:53Z,iphone fark aralarinda alsam pişman olur mugum,-1.0,Olumsuz,0
iPhone 15,YouTube,@ramazanbalin8506,Knk  bu yüzden kopartan efektin ismi ne diye geçiyor çok güzel de yada nasıl yaptın☺️,4,2023-10-07T16:38:11Z,knk yüz kopartan efektin ismi geçiyor güzel yada nasıl yaptın,1.0,Olumlu,1
AirPods Pro,Twitter (Simulated),@user_78804," Youtube çöplüğünde alanında altın değerinde bir kanalsın  ve severek izliyorum bizleri bilgilendirdiğin için, emek verdiğin için teşekkür ederim. İnşallah sende bu popüler kapitalist sisteme uyup katıl butonu gibi ayrımcılık yapan kanallara uymazsın.. Seviyorum seni reis 😁",98,2020-01-25T21:09:47Z,youtube çöplüğünde alanında altın değerinde kanalsın severek izliyorum bizleri bilgilendirdiğin emek verdiğin teşekkür eder inşallah sende popü kapitalist sisteme uyup katıl butonu ayrımcılık yapan kanallara uymazsın seviyorum seni reis,1.0,Olumlu,1
Dyson Supurge,YouTube,@beyzanurozturk525,Aşırı iyi ve açıklayıcı gen 5 tanıtımı YouTube bunu başa tuttursun bence 👍,0,2025-04-28T10:25:18Z,aşırı iyi açıklayıcı gen tanıtı youtube bunu başa tutturs bence,1.0,Olumlu,1
AirPods Pro,Twitter (Simulated),@user_24049, ALP ABİM SENDEN BİR RİCAM VAR BENDE BLUETOOTH KULAKLIK VAR PLANTRONİCS MARKA SPOR İÇİN ALDIM AMA SIKINTILI İYİ BİR KULAKLIK ÖNERİN OLURMU BANA SPOR İÇİN KULAĞI DIŞARIDAN KAVRAYAN,65,2020-01-25T16:45:05Z,alp abim sen ricam bende bluetooth kulaklik plantronics marka spor ald sikintili iyi kulaklik önerin olurmu spor kulaği dişari kavrayan,1.0,Olumlu,1
Samsung S24,YouTube,@ismailaga1983,Emeğine sağlık çok iyi deneyim videosu olmuş gerçekten şu an fiyat performans kalite en iyi çihaz bençe özellikle 7 yıl günçeleme muazzam,3,2024-07-13T17:35:06Z,emeğine sağlık iyi deney videosu olmuş gerçekten fiyat performans kalite iyi çihaz bençe özellikle yıl günçeleme muazzam,1.0,Olumlu,1
AirPods Pro,YouTube,@edams1,valla hocam ben kullanıyorum olmazsa olmazlarımdan biri airpods pro 1. 2. neslinide kullandım ama prodan çok memnun kaldım üstüne gittim eşimede aldım oda çok memnun,0,2020-01-27T20:57:31Z,valla hocam kullanıyorum olmazsa olmazlarım biri airpods pro neslinide kullandım pro memn kaldım üstüne gitt eşimede aldım oda memn,1.0,Olumlu,1
Samsung S24,YouTube,@leven3659,Bende s24 var gerçekten mükemmel bir telefon,0,2024-08-27T21:35:31Z,bende gerçekten mükemmel telefon,1.0,Olumlu,1
iPhone 15,YouTube,@alyaparkteam4793,Samsungun bu yıl çıkardığı en çöp cihaz olan ve 4900TL ye satılan A04S de bile 90Hz ekran var. Yorum bu kadar.,0,2023-11-22T14:37:34Z,samsung yıl çıkardığı çöp cihaz olan satılan bile ekran yorum,-1.0,Olumsuz,0
